,PRICE_NEW,BRANDNAME,KM_INT,FUEL,BODY,GEARBOX,DRIVE,COLOR,AGE,ENGINERANGE
237,4000000,Toyota,237000.0,Diesel,Pickup,Manual,4WD,Black,10,2001-2500(cc)
238,2200000,Toyota,50000.0,Petrol,SUV,Manual,2WD,Blue,11,1001-1500(cc)
239,4100000,Toyota,90000.0,Diesel,Pickup,Manual,4WD,Other Colors,11,2001-2500(cc)
240,4250000,Toyota,96000.0,Diesel,Pickup,Manual,4WD,Gray,11,2001-2500(cc)
241,1775000,Toyota,55000.0,Petrol,Hatchback,Manual,2WD,Gray,11,1001-1500(cc)
244,1750000,Toyota,85000.0,Petrol,SUV,Manual,2WD,Silver,10,1001-1500(cc)
249,2150000,Toyota,56000.0,Petrol,SUV,Automatic,4WD,Other Colors,10,1001-1500(cc)
252,4700000,Toyota,90000.0,Diesel,Pickup,Manual,4WD,Black,10,2901-above(cc)
258,1650000,Toyota,74000.0,Petrol,Sedan,Manual,2WD,Other Colors,10,1501-2000(cc)
259,1575000,Toyota,48000.0,Petrol,Hatchback,Manual,2WD,Silver,10,1001-1500(cc)
260,1565000,Toyota,48000.0,Petrol,Sedan,Manual,2WD,Silver,10,1001-1500(cc)
261,1850000,Toyota,39000.0,Petrol,Sedan,Manual,2WD,Silver,10,1001-1500(cc)
270,6500000,Toyota,90000.0,Diesel,Pickup,Manual,4WD,Brown,9,2501-2900(cc)
271,9750000,Toyota,84000.0,Diesel,SUV,Manual,4WD,Other Colors,9,2901-above(cc)
272,1775000,Toyota,50000.0,Petrol,Hatchback,Manual,4WD,Gray,9,1001-1500(cc)
274,1750000,Toyota,44000.0,Petrol,Sedan,Manual,2WD,Other Colors,8,1001-1500(cc)
275,1825000,Toyota,80000.0,Petrol,SUV,Automatic,4WD,Other Colors,9,2001-2500(cc)
278,12999999,Toyota,128000.0,Diesel,SUV,Manual,4WD,Other Colors,9,2901-above(cc)
280,6500000,Toyota,63000.0,Petrol,SUV,Manual,4WD,Silver,9,2001-2500(cc)
